G_POA_norm,air_temp_norm,wind_s_norm,humidity_norm,declination_norm,power_norm
0.3519,0.366,0.129,0.89,-0.75866,0.47
0.35495,0.37,0.145,0.88,-0.75865,0.4935
0.3754,0.374,0.129,0.88,-0.75864,0.4905
0.3975,0.376,0.193,0.87,-0.75862,0.499
0.37765,0.378,0.177,0.87,-0.75861,0.5065
0.4073,0.382,0.177,0.86,-0.7586,0.5455
0.39215,0.384,0.161,0.85,-0.75859,0.515
0.42265,0.388,0.129,0.85,-0.75858,0.5355
0.41955,0.394,0.177,0.84,-0.75857,0.566
0.43755,0.398,0.225,0.84,-0.75855,0.5515
0.44265,0.404,0.193,0.83,-0.75854,0.546
0.4261,0.408,0.161,0.82,-0.75853,0.5445
0.43735,0.414,0.145,0.82,-0.75852,0.5605
0.4486,0.418,0.161,0.81,-0.75851,0.619
0.4805,0.424,0.225,0.8,-0.7585,0.6195
0.5071,0.426,0.209,0.8,-0.75848,0.6025
0.48745,0.432,0.129,0.79,-0.75847,0.583
0.47905,0.434,0.193,0.78,-0.75846,0.604
0.47025,0.438,0.241,0.78,-0.75845,0.5955
0.4944,0.442,0.241,0.77,-0.75844,0.5795
0.47375,0.446,0.225,0.77,-0.75842,0.6785
0.50505,0.454,0.177,0.76,-0.75841,0.679
0.567,0.454,0.225,0.75,-0.7584,0.696
0.58005,0.452,0.209,0.75,-0.75839,0.693
0.5666,0.454,0.193,0.76,-0.75838,0.6945
0.58805,0.464,0.161,0.74,-0.75837,0.719
0.6034,0.474,0.161,0.73,-0.75835,0.796
0.35085,0.474,0.241,0.72,-0.75834,0.7965
0.6864,0.472,0.177,0.73,-0.75833,0.7815
0.67925,0.472,0.241,0.73,-0.75832,0.234
0.1697,0.476,0.161,0.72,-0.75831,0.8695
0.6968,0.48,0.161,0.72,-0.75829,0.821
0.7097,0.478,0.209,0.71,-0.75828,0.6685
0.5821,0.478,0.257,0.71,-0.75827,0.5825
0.4948,0.488,0.161,0.7,-0.75826,0.4305
0.2382,0.49,0.209,0.69,-0.75825,0.4355
0.31445,0.492,0.193,0.7,-0.75824,0.823
0.37705,0.496,0.177,0.69,-0.75822,0.8335
0.7322,0.496,0.209,0.69,-0.75821,0.6495
0.45105,0.498,0.193,0.68,-0.7582,0.788
0.57925,0.504,0.177,0.67,-0.75819,0.7725
0.70215,0.508,0.193,0.65,-0.75818,0.764
0.68375,0.506,0.225,0.66,-0.75816,0.702
0.62095,0.512,0.193,0.65,-0.75815,0.6705
0.33225,0.518,0.145,0.65,-0.75814,0.6905
0.5948,0.516,0.145,0.63,-0.75813,0.6765
0.5214,0.52,0.145,0.62,-0.75812,0.773
0.58395,0.524,0.193,0.61,-0.75811,0.7645
0.67965,0.524,0.177,0.6,-0.75809,0.824
0.43185,0.532,0.225,0.58,-0.75808,0.77
0.65205,0.526,0.097,0.58,-0.75807,0.7435
0.63915,0.534,0.161,0.57,-0.75806,0.7235
0.56005,0.536,0.113,0.56,-0.75805,0.7215
0.62935,0.54,0.113,0.55,-0.75803,0.725
0.63305,0.538,0.08,0.55,-0.75802,0.7125
0.5627,0.546,0.129,0.53,-0.75801,0.748
0.6582,0.538,0.209,0.51,-0.758,0.679
0.53325,0.536,0.113,0.53,-0.75799,0.6085
0.19525,0.538,0.145,0.55,-0.75798,0.755
0.5314,0.536,0.177,0.52,-0.75796,0.7475
0.6232,0.536,0.145,0.52,-0.75795,0.7185
0.62095,0.544,0.161,0.53,-0.75794,0.719
0.5903,0.544,0.097,0.52,-0.75793,0.7175
0.63795,0.552,0.097,0.51,-0.75792,0.682
0.594,0.558,0.08,0.49,-0.7579,0.661
0.5805,0.558,0.145,0.49,-0.75789,0.638
0.54715,0.552,0.177,0.48,-0.75788,0.6195
0.4854,0.546,0.08,0.48,-0.75787,0.593
0.43735,0.558,0.113,0.47,-0.75786,0.566
0.48235,0.564,0.145,0.46,-0.75784,0.4875
0.329,0.562,0.193,0.47,-0.75783,0.6085
0.46885,0.562,0.209,0.47,-0.75782,0.6455
0.422,0.556,0.177,0.46,-0.75781,0.534
0.4539,0.56,0.145,0.46,-0.7578,0.3815
0.3169,0.566,0.161,0.44,-0.75778,0.381
0.2836,0.572,0.209,0.42,-0.75777,0.3475
0.29445,0.568,0.097,0.43,-0.75776,0.2715
