G_POA_norm,air_temp_norm,wind_s_norm,humidity_norm,declination_norm,datenum,power_norm
0.6258500000,0.4240000000,0.1130000000,0.7500000000,-0.7642153910,737792.6215277778,0.7360000000
0.5831500000,0.4260000000,0.0800000000,0.7400000000,-0.7642052255,737792.6250000000,0.7495000000
0.5944000000,0.4340000000,0.1130000000,0.7400000000,-0.7641950570,737792.6284722223,0.7270000000
0.5850000000,0.4380000000,0.0640000000,0.7300000000,-0.7641848854,737792.6319444445,0.7390000000
0.6089000000,0.4360000000,0.1770000000,0.7100000000,-0.7641747107,737792.6354166666,0.7075000000
0.5586000000,0.4360000000,0.1450000000,0.7200000000,-0.7641645330,737792.6388888889,0.6745000000
0.5394000000,0.4320000000,0.1290000000,0.7400000000,-0.7641543523,737792.6423611111,0.6925000000
0.5392000000,0.4320000000,0.1610000000,0.7300000000,-0.7641441685,737792.6458333334,0.7080000000
0.5784500000,0.4300000000,0.1130000000,0.7300000000,-0.7641339816,737792.6493055555,0.6635000000
0.5253000000,0.4240000000,0.0970000000,0.7300000000,-0.7641237917,737792.6527777778,0.6745000000
0.5242500000,0.4220000000,0.1450000000,0.7400000000,-0.7641135988,737792.6562500000,0.6700000000
0.5269000000,0.4200000000,0.1770000000,0.7300000000,-0.7641034028,737792.6597222223,0.6415000000
0.5097500000,0.4220000000,0.1130000000,0.7400000000,-0.7640932037,737792.6631944445,0.6025000000
0.4931500000,0.4240000000,0.1450000000,0.7300000000,-0.7640830016,737792.6666666666,0.6110000000
0.4962500000,0.4240000000,0.1450000000,0.7300000000,-0.7640727964,737792.6701388889,0.6120000000
0.5030000000,0.4140000000,0.2090000000,0.7300000000,-0.7640625882,737792.6736111111,0.6065000000
0.4944000000,0.4100000000,0.1770000000,0.7500000000,-0.7640523769,737792.6770833334,0.5790000000
0.4811000000,0.4100000000,0.1930000000,0.7500000000,-0.7640421625,737792.6805555555,0.5690000000
0.4664000000,0.4080000000,0.1610000000,0.7600000000,-0.7640319451,737792.6840277778,0.5580000000
0.4563500000,0.4080000000,0.0970000000,0.7600000000,-0.7640217247,737792.6875000000,0.5320000000
0.4367500000,0.4140000000,0.1290000000,0.7500000000,-0.7640115012,737792.6909722223,0.5255000000
0.4379500000,0.4140000000,0.1610000000,0.7500000000,-0.7640012746,737792.6944444445,0.5055000000
0.4171000000,0.4120000000,0.1930000000,0.7500000000,-0.7639910450,737792.6979166666,0.5225000000
0.4308000000,0.4120000000,0.1930000000,0.7600000000,-0.7639808124,737792.7013888889,0.4990000000
0.4071000000,0.4120000000,0.0640000000,0.7700000000,-0.7639705767,737792.7048611111,0.4945000000
0.3932000000,0.4200000000,0.1930000000,0.7600000000,-0.7639603379,737792.7083333334,0.4755000000
0.3903500000,0.4180000000,0.1450000000,0.7500000000,-0.7639500961,737792.7118055555,0.4700000000
0.3860500000,0.4160000000,0.1610000000,0.7500000000,-0.7639398512,737792.7152777778,0.4525000000
0.3582500000,0.4120000000,0.1930000000,0.7600000000,-0.7639296033,737792.7187500000,0.4420000000
0.3692500000,0.4120000000,0.1610000000,0.7600000000,-0.7639193523,737792.7222222223,0.4270000000
0.3504500000,0.4140000000,0.1770000000,0.7600000000,-0.7639090983,737792.7256944445,0.4070000000
0.3326500000,0.4100000000,0.2090000000,0.7600000000,-0.7638988412,737792.7291666666,0.4020000000
0.3257000000,0.4080000000,0.1130000000,0.7700000000,-0.7638885811,737792.7326388889,0.3635000000
0.3063000000,0.4120000000,0.2250000000,0.7700000000,-0.7638783179,737792.7361111111,0.3755000000
0.3144500000,0.4060000000,0.1610000000,0.7700000000,-0.7638680516,737792.7395833334,0.3360000000
0.2811500000,0.4060000000,0.0970000000,0.7700000000,-0.7638577823,737792.7430555555,0.3205000000
0.2762500000,0.4160000000,0.1770000000,0.7600000000,-0.7638475100,737792.7465277778,0.2880000000
0.2601000000,0.4220000000,0.0640000000,0.7600000000,-0.7638372346,737792.7500000000,0.2790000000
0.2445500000,0.4200000000,0.1290000000,0.7500000000,-0.7638269561,737792.7534722223,0.2670000000
0.2419000000,0.4260000000,0.1130000000,0.7500000000,-0.7638166746,737792.7569444445,0.2470000000
0.2300500000,0.4300000000,0.1290000000,0.7400000000,-0.7638063901,737792.7604166666,0.2255000000
0.2147000000,0.4240000000,0.1130000000,0.7400000000,-0.7637961025,737792.7638888889,0.2075000000
0.2001500000,0.4180000000,0.1450000000,0.7400000000,-0.7637858118,737792.7673611111,0.1850000000
0.1834000000,0.4240000000,0.1130000000,0.7500000000,-0.7637755181,737792.7708333334,0.1700000000
0.1732000000,0.4300000000,0.0970000000,0.7400000000,-0.7637652213,737792.7743055555,0.1530000000
0.1631500000,0.4260000000,0.0640000000,0.7400000000,-0.7637549215,737792.7777777778,0.1400000000
0.1562000000,0.4220000000,0.1610000000,0.7400000000,-0.7637446187,737792.7812500000,0.1210000000
0.1443500000,0.4160000000,0.0640000000,0.7500000000,-0.7637343127,737792.7847222223,0.1120000000
0.1347500000,0.4180000000,0.1930000000,0.7500000000,-0.7637240038,737792.7881944445,0.0940000000
0.1732000000,0.3460000000,0.0160000000,0.8000000000,-0.7620568904,737793.3368055555,0.1870000000
0.1730000000,0.3440000000,0.0320000000,0.8100000000,-0.7620460969,737793.3402777778,0.2050000000
0.1807500000,0.3440000000,0.0320000000,0.8100000000,-0.7620353004,737793.3437500000,0.2195000000
0.1940500000,0.3420000000,0.0320000000,0.8100000000,-0.7620245008,737793.3472222223,0.2400000000
0.2034500000,0.3420000000,0.0320000000,0.8200000000,-0.7620136982,737793.3506944445,0.2510000000
0.2171500000,0.3440000000,0.0480000000,0.8200000000,-0.7620028926,737793.3541666666,0.2665000000
0.2247000000,0.3440000000,0.0640000000,0.8200000000,-0.7619920839,737793.3576388889,0.2860000000
